order_book_id,date,open_interest,volume,day_session_open,settlement,prev_settlement,limit_up,low,open,limit_down,prev_close,total_turnover,close,high
M2505,2024-05-20,45610.0,58941.0,3220.0,3206.0,3314.0,3711.0,3169.0,3285.0,2917.0,3314.0,1890106190.0,3184.0,3285.0
M2505,2024-05-21,56462.0,27754.0,3195.0,3192.0,3206.0,3398.0,3174.0,3188.0,3014.0,3184.0,885943860.0,3184.0,3207.0
M2505,2024-05-22,59594.0,35084.0,3186.0,3189.0,3192.0,3383.0,3175.0,3186.0,3001.0,3184.0,1119117450.0,3195.0,3199.0
M2505,2024-05-23,66242.0,25165.0,3198.0,3198.0,3189.0,3380.0,3190.0,3193.0,2998.0,3195.0,804895090.0,3205.0,3207.0
M2505,2024-05-24,74050.0,22683.0,3205.0,3206.0,3198.0,3389.0,3194.0,3211.0,3007.0,3205.0,727356060.0,3198.0,3221.0
M2505,2024-05-27,84544.0,33481.0,3208.0,3198.0,3206.0,3398.0,3184.0,3201.0,3014.0,3198.0,1070876140.0,3187.0,3215.0
M2505,2024-05-28,84265.0,27254.0,3190.0,3193.0,3198.0,3389.0,3181.0,3189.0,3007.0,3187.0,870264330.0,3189.0,3200.0
M2505,2024-05-29,99869.0,39457.0,3140.0,3154.0,3193.0,3384.0,3133.0,3187.0,3002.0,3189.0,1244662340.0,3156.0,3192.0
M2505,2024-05-30,109117.0,26352.0,3145.0,3148.0,3154.0,3343.0,3139.0,3153.0,2965.0,3156.0,829622400.0,3146.0,3160.0
M2505,2024-05-31,115358.0,19215.0,3147.0,3147.0,3148.0,3336.0,3136.0,3148.0,2960.0,3146.0,604733810.0,3150.0,3159.0
M2505,2024-06-03,121061.0,22567.0,3140.0,3137.0,3147.0,3335.0,3122.0,3153.0,2959.0,3150.0,708079990.0,3124.0,3158.0
M2505,2024-06-04,131036.0,27091.0,3115.0,3117.0,3137.0,3325.0,3105.0,3130.0,2949.0,3124.0,844491630.0,3114.0,3132.0
M2505,2024-06-05,138895.0,29067.0,3116.0,3117.0,3117.0,3304.0,3106.0,3110.0,2930.0,3114.0,906085530.0,3115.0,3125.0
M2505,2024-06-06,147084.0,40077.0,3114.0,3113.0,3117.0,3304.0,3101.0,3116.0,2930.0,3115.0,1247890060.0,3116.0,3125.0
M2505,2024-06-07,157989.0,31891.0,3125.0,3119.0,3113.0,3299.0,3106.0,3117.0,2927.0,3116.0,994688830.0,3110.0,3131.0
M2505,2024-06-11,160455.0,17847.0,3112.0,3112.0,3119.0,3306.0,3108.0,3112.0,2932.0,3110.0,555426530.0,3110.0,3120.0
M2505,2024-06-12,165761.0,28673.0,3103.0,3107.0,3112.0,3298.0,3101.0,3112.0,2926.0,3110.0,890994500.0,3108.0,3115.0
M2505,2024-06-13,174167.0,37891.0,3103.0,3097.0,3107.0,3293.0,3077.0,3107.0,2921.0,3108.0,1173489780.0,3078.0,3111.0
M2505,2024-06-14,172372.0,21510.0,3096.0,3097.0,3097.0,3282.0,3082.0,3088.0,2912.0,3078.0,666297580.0,3108.0,3113.0
M2505,2024-06-17,182348.0,50388.0,3088.0,3083.0,3097.0,3282.0,3072.0,3107.0,2912.0,3108.0,1553857920.0,3083.0,3107.0
M2505,2024-06-18,193121.0,42221.0,3063.0,3071.0,3083.0,3267.0,3059.0,3083.0,2899.0,3083.0,1296842290.0,3064.0,3087.0
M2505,2024-06-19,198486.0,24982.0,3072.0,3073.0,3071.0,3255.0,3065.0,3065.0,2887.0,3064.0,767874080.0,3075.0,3083.0
M2505,2024-06-20,214477.0,52909.0,3090.0,3080.0,3073.0,3257.0,3071.0,3078.0,2889.0,3075.0,1629848160.0,3082.0,3095.0
M2505,2024-06-21,234488.0,60920.0,3049.0,3055.0,3080.0,3264.0,3041.0,3072.0,2896.0,3082.0,1861430350.0,3045.0,3080.0
M2505,2024-06-24,242012.0,47099.0,3048.0,3057.0,3055.0,3238.0,3039.0,3047.0,2872.0,3045.0,1440041880.0,3063.0,3076.0
M2505,2024-06-25,241324.0,38643.0,3071.0,3068.0,3057.0,3240.0,3055.0,3057.0,2874.0,3063.0,1185698190.0,3075.0,3081.0
M2505,2024-06-26,257426.0,49897.0,3060.0,3069.0,3068.0,3252.0,3057.0,3065.0,2884.0,3075.0,1531338990.0,3075.0,3084.0
M2505,2024-06-27,278621.0,60360.0,3067.0,3071.0,3069.0,3253.0,3062.0,3075.0,2885.0,3075.0,1854117580.0,3067.0,3082.0
M2505,2024-06-28,290381.0,43960.0,3060.0,3065.0,3071.0,3255.0,3057.0,3072.0,2887.0,3067.0,1347451860.0,3064.0,3074.0
M2505,2024-07-01,316792.0,73614.0,3058.0,3058.0,3065.0,3248.0,3051.0,3066.0,2882.0,3064.0,2251659430.0,3060.0,3069.0
M2505,2024-07-02,349889.0,109477.0,3066.0,3070.0,3058.0,3241.0,3052.0,3056.0,2875.0,3060.0,3361379240.0,3086.0,3090.0
M2505,2024-07-03,392568.0,113568.0,3082.0,3096.0,3070.0,3254.0,3076.0,3091.0,2886.0,3086.0,3516519380.0,3092.0,3114.0
M2505,2024-07-04,436207.0,156452.0,3086.0,3086.0,3096.0,3281.0,3062.0,3099.0,2911.0,3092.0,4829530520.0,3071.0,3108.0
M2505,2024-07-05,436264.0,70639.0,3079.0,3080.0,3086.0,3271.0,3066.0,3073.0,2901.0,3071.0,2176189310.0,3092.0,3095.0
M2505,2024-07-08,450378.0,90884.0,3088.0,3087.0,3080.0,3264.0,3072.0,3094.0,2896.0,3092.0,2805743740.0,3073.0,3099.0
M2505,2024-07-09,473453.0,125018.0,3050.0,3058.0,3087.0,3272.0,3045.0,3068.0,2902.0,3073.0,3824035410.0,3058.0,3079.0
M2505,2024-07-10,481433.0,133375.0,3039.0,3038.0,3058.0,3241.0,3017.0,3057.0,2875.0,3058.0,4052705710.0,3023.0,3070.0
